French,Tamazight_Kabyle,LLM_Translation
Quelle est votre théorie quant à ce qui s'est passé ?,Acu n tiẓri i tesεiḍ ɣef ayen yeḍran ?,D acu i d tizri-nwen ɣef wayen yeḍran?
Il a traversé l'océan Pacifique en 30 jours.,Yezger agaraw Amalway deg 30 n wussan.,Izger agaraw Pacifik deg teltin n wussan.
Tom promit de dire la vérité.,Tom iweεεed-d ad d-yini tidet.,Tom yeggul ad d-yini tidett.
Cette idéologie raciste et colonialiste n'a rien à envier à l'ignoble système de l'apartheid.,"Tasnektit-a tiriẓrit, tamhersant, ur txulef ula di kra anagraw uqbiḥ n apartheid.",Tizri-agi n urakiz d temhersa ur txus ara ɣef unagraw amesxu n uperteyd.
Nombreux sont ceux qui craignent une augmentation de la violence.,Aṭas i yugaden ad tzid tekriṭ.,Aṭas n wid yugaden timerniwt n ccwal.
Je veux te poser des questions.,Bɣiɣ ad k-d-fkeɣ kra n tuttriwin.,Bɣiɣ ad ak-steqsiɣ kra n isesteqsiyen.
"Tu auras beau essayer, le résultat sera le même.","Akken tebɣuḍ tεerḍeḍ, d yiwen ugmuḍ kan ara d-yeffɣen.","Akken tebɣuḍ ɛreḍ, agmuḍ d yiwen."
Hier nous étions dans ton jardin.,Iḍelli nella deg urti-nwen.,Iḍelli nella deg wurtu-ik.
Il met quelque argent de côté tous les mois.,Yal ayyur yettarra kra n yidrimen ɣer ṭṭerf.,Iserrus ciṭ n yedrimen i rrif yal ayyur.
Elle ouvrit la porte.,Teldi tawwurt.,Telda tabburt.
J'ai toujours été très passionné par la biologie.,Si zik mi yi-terḥa tesnudert.,Zgiɣ ḥemmleɣ aṭas tabiyulujit.
"Maintenant qu'il est vieux, c'est ton devoir de t'occuper de lui.","Tura mi yuɣal d amɣar, d lwaǧeb fell-ak ad s-tbeddeḍ.","Imi yewser tura, d lwaǧeb-ik a t-tḥadreḍ."
Tom ira.,Ad iruḥ tom.,Ad iṛuḥ Tom.
Le corbeau est aussi noir que du charbon.,Tagarfa d taberkant am tergin.,Agerfiw d aberkan am tirni.
Nous ne sommes pas nés pour nous-mêmes.,Ur d-nlul ara i nekni.,Ur d-nlul ara i yiman-nneɣ.
Nous te l'avons déjà donné.,Nefka-yak-t-id yakan.,Nefka-yak-t yakan.
J'ai un message urgent de Tom.,Γur-i izen iεeǧlen sɣur Tom.,Sɛiɣ izzen iɣeṣben sɣur Tom.
Elle a attendu qu'il vienne à la maison.,Terja-t ad d-yas s axxam.,Terǧa ad d-yas ɣer uxxam.
On parle espagnol dans 20 pays.,Taspenyult tettwahdar deg 20 n tmura.,Ttmeslayen taspenyult deg snat tmerwin n tmura.
Il ne remarqua pas qu'il y avait un homme malade qui dormait dans l'autre pièce.,Ur yerra tamawt ziɣ yella yiwen wergaz yuḍnen i ignen deg texxamt nniḍen.,Ur d-yufaq ara belli yella yiwen n wergaz yuḍnen i yeṭṭsen deg texxamt tayeḍ.
Elle ignore même que j'existe.,Ur teεlim yess-i ma lliɣ.,Ur teẓri ara ula d akken llig.
Les ours aiment se gratter le dos sur l'écorce des arbres.,Idebbiwen ḥemmlen ad kemzen aεrur-nsen ɣer yiqcer n waddagen.,Irsen ḥemmlen ad kerrden aɛrur-nsen ɣef tceṛt n ttejjṛat.
Il était pauvre et habitait dans une petite cabane.,Yella d aẓawali izedɣen deg yiwet n tbaṛṛakt tamecṭuḥt.,"Yella d igellil, izeddeɣ deg yiwet n ttaxamt tameẓyant."
Les parents de Tom vivent en Amérique du Sud.,Imawlan n Tom zedɣen deg temrikt n wenẓul.,Imawlan n Tom zdɣen di Tamrikt n Wanẓul.
Les méthodes modernes ont amélioré l'industrie.,Tarrayin tatrarin wennεent tamguri.,Tarrayin titrarin snernant tamguri.
Répondez aux questions suivantes.,Err-d f isteqsiyen-a.,Err-et i yesteqsiyen i d-iteddun.
Répondez aux questions suivantes.,Rrem-d f isteqsiyen-a.,Rret-d i yisteqsiyen i d-iteddun.
Cet été j'irai au Danemark.,Deg unebdu-ya ad ruḥeɣ ɣer Danemark.,Anebdu-agi ad ruḥeɣ ɣer Danmarq.
"Quand Ahmad était enfant, il pouvait grimper à de grands arbres.",Ḥmed yella ilebbes ttjur ɣezzifen mi yella d aqrur.,"Asmi yella Ahmad d amecṭuḥ, yezmer ad yali ɣef isekla imeqqranen."
L'esclave essaya de s'enfuir.,Akli-nni yeεreḍ ad yerwel.,Akli iɛreḍ ad yerwel.
C'était un beau dimanche matin au bord de la mer Baltique.,Ass-en d ass n lḥedd igerrzen ɣef yiri n yill n Baltik.,Yella d yiwen n sbeḥ n lḥedd icebḥen rrif n lebḥer n Baltik.
"S'il te plaît, passe-moi le beurre.",Sεeddi-yi-d udi-nni ttxil-k.,"Di leɛnaya-k, efk-iyi-d udi."
Que le ciel vous bénisse.,Ad ibarek Rebbi deg-k.,Ad awen-ibarek Rebbi.
Comment te décrirais-tu ?,Amek ara d-tgelmeḍ iman-ik ?,Amek ara d-tgelmed iman-ik?
L’homme est le seul animal capable de rire.,Ala amdan i d aɣersiw izemren ad yeḍs.,Amdan d aɣersiw i d yiwen i izemmren ad yeḍs.
Je mis mes chaussures sous le lit.,Serseɣ isebbaḍen-iw ddaw umeṭreḥ.,Erriɣ isabaden-iw ddaw wusu.
Tous les monstres commencent comme les bébés de quelqu'un.,Imẓiwen merra beddun-tt-id d iṭufanen n ḥedd.,Akk iwaɣziwen bdun am yilufanen n yiwen.
Mon patron n'est pas satisfait de mon rapport.,Amεellem-iw ur t-iqenneε ara uneqqis-iw.,Amuddir-iw ur yerḍi ara s usali-iw.
Quelle route dois-je prendre ?,Anwa abrid i ilaq ad awiɣ ?,Anwa abrid ara dmeɣ?
Entendre ça me fit bouillir le sang.,Rekkmen idammen-iw m'ara selleɣ i waya.,"Mi sliɣ i wayen-nni, yesserɣ-iyi idammen."
Tom a appris le Coran.,Tom yelmed Leqran.,Iḥfed Tom Lquran.
Elle a appris le Coran.,Telmed Leqran.,Teḥfeḍ Leqran.
Marie a appris le Coran.,Mary telmed Leqran.,Mari teḥfeḍ Leqran.
Nous avons appris le Coran.,Nelmed Leqran.,Nelmed Leqran.
Vous avez appris le Coran.,Tlemdemt Leqran.,Teḥfḍem Leqran.
Ils ont appris le Coran.,Lemden Leqran.,Lmeden Leqran.
Elles ont appris le Coran.,Lemdent Leqran.,Ḥefḍent Leqran.
J'ai appris le russe à mes enfants.,Slemdeɣ tarusit i warraw-inu.,Sselmdeɣ tarusit i warraw-iw.
Tu as appris le russe à tes enfants.,Teslemded tarusit i warraw-ik.,Tesselmed tarusit i warraw-ik.
Tu as appris le russe à tes enfants.,Teslemded tarusit i warraw-inek.,Tesselmed tarusit i warraw-ik.
Tu as appris le russe à tes enfants.,Teslemded tarusit i warraw-im.,Tesselmed tarusit i warraw-ik.
Tu as appris le russe à tes enfants.,Teslemded tarusit i warraw-inem.,Tesselmed tarusit i warraw-ik.
Tu as appris le russe à tes enfants.,Teslemded tarusit i warraw-nnek.,Tesselmed tarusit i warraw-ik.
Tu as appris le russe à tes enfants.,Teslemded tarusit i warraw-nnem.,Tesselmdeḍ tarusit i warraw-ik.
Il a appris le russe à ses enfants.,Yesselmed tarusit i warraw-is.,Isselmed tarusit i warraw-is.
Il a appris le russe à ses enfants.,Yesselmed tarusit i warraw-ines.,Isselmed tarusit i warraw-is.
Il a appris le russe à ses enfants.,Yesselmed tarusit i warraw-nnes.,Isselmed tarusit i warraw-is.
Tom a appris le russe à ses enfants.,Tom yesselmed tarusit i warraw-is.,Tom isselmed tarusit i warraw-is.
Tom a appris le russe à ses enfants.,Tom yesselmed tarusit i warraw-ines.,Tom isselmed tarusit i warraw-is.
Tom a appris le russe à ses enfants.,Tom yesselmed tarusit i warraw-nnes.,Tom isselmed tarusit i warraw-is.
Elle a appris le russe à ses enfants.,Tesselmed tarusit i warraw-is.,Tesselmed taṛusit i warraw-is.
Elle a appris le russe à ses enfants.,Tesselmed tarusit i warraw-ines.,Tesselmed taṛusit i warraw-is.
Elle a appris le russe à ses enfants.,Tesselmed tarusit i warraw-nnes.,Tesselmed taṛusit i warraw-is.
Marie a appris le russe à ses enfants.,Marie tesselmed tarusit i warraw-is.,Marie tesselmed tarusit i warraw-is.
Marie a appris le russe à ses enfants.,Marie tesselmed tarusit i warraw-ines.,Marie tesselmed tarusit i tarwa-s.
Marie a appris le russe à ses enfants.,Marie tesselmed tarusit i warraw-nnes.,Marie tesselmed tarusit i tarwa-s.
Nous avons appris le russe à nos enfants.,Nesselmed tarusit i warraw-nneɣ.,Nesselmed tarusit i warraw-nneɣ.
Nous avons appris le russe à nos enfants.,Nesselmed tarusit i warraw-nteɣ.,Nesselmed tarusit i warraw-nneɣ.
Vous avez appris le russe à vos enfants.,Teslemdem tarusit i warraw-nwen.,Tselmedem tarusit i warraw-nwen.
Vous avez appris le russe à vos enfants.,Teslemdem tarusit i warraw-nwent.,Tselmedem tarusit i warraw-nwen.
Vous avez appris le russe à vos enfants.,Teslemdem tarusit i warraw-nken.,Tselmedem tarusit i warraw-nwen.
Vous avez appris le russe à vos enfants.,Teslemdem tarusit i warraw-nkent.,Tselmedem tarusit i warraw-nwen.
Ils ont appris le russe à leurs enfants.,Slemden tarusit i warraw-nsen.,Slemden tarusit i warraw-nsen.
Elles ont appris le russe à leurs enfants.,Slemdent tarusit i warraw-nsent.,Sselmdent tarusit i warraw-nsent.
Je m'approchais.,Qerrbeɣ.,Ttqeṛṛibeɣ-d.
Tu t'approchais.,Tettqerribeḍ.,Tqeṛṛibeḍ.
Il s'approchait.,Yettqerrib.,Ittqerrib-d.
Tom s'approchait.,Tom yettqerrib.,Tom itqeṛṛib-d.
Elle s'approchait.,Tettqerrib.,Tettaẓ-ed.
Marie s'approchait.,Marry tettqerrib.,Mari tqeṛṛib-d.
Je me suis approché.,Qerrbeɣ.,Qeṛṛbeɣ-d.
Je me suis approchée.,Qerrbeɣ.,Qerrbeɣ-d.
"À mesure que le soleil se levait, les étoiles faiblissaient.",Akken i d-yettali yiṭij i ttɣiben yetran.,"Simmal yettali yitij, simmal ttendayen yitran."
Ils craignent les dieux.,Ttagaden illuten.,Ttagaden yakucen.
Je ne me rendais pas compte qu'il était déjà si tard.,Ur d-faqeɣ ara billi iruḥ lḥal.,Ur d-clayeɣ ara belli yeṭṭel lḥal yakan.
Vous êtes une sacrée menteuse.,Ulac takeddabt i kem-icban.,Kemm d teskaddabt tameqqrant.
Il s'est mis à jurer.,Yebda la yettgalla.,Yebda la ittgalla.
Avez-vous une aiguille à coudre ?,Γur-k tissegnit n txeyyaṭ ?,Tesɛam tisegnit n tigni?
Tom s'endormit et manqua la fin du film.,Tom yewwi-t yiḍes dɣa truḥ-as tagara usaru.,Tom yeṭṭes dɣa izgel taggara n usaru.
Il est mort sur le champ de bataille.,Yemmut deg imenɣi.,Yemmut deg unnar n ttrad.
Il a continué à écrire des histoires sur les animaux.,Ikemmel yettaru tiqsiḍin ɣef yiɣersiwen.,Ikemmel ad yaru timucuha ɣef yiɣersiwen.
"Tenez, prenez ceci !","Ax, ṭṭef !","Aha, ddmet wa!"
"La nature est le seul livre qui nous offre, sur chaque page, un grand contenu.",D agama kan i d adlis deg nettaf agbur meqqren di yal asebter.,"Agama d adlis awḥid i d-yettaken, deg yal asebter, agbur ameqqran."
"L'important n'est pas combien de livres, mais quels livres vous lisez.","Ṣṣeḥ mačči deg acḥal n yidlisen i teqqareḍ, maca d acu-ten yidlisen-nni.","Ayen yesɛan azal mačči d acḥal n yedlisen, meɛna d anwi idlisen i teqqarem."
Elle fut lapidée.,Tettwaṛjem.,Ttuṛjem.
Elle était envoûtée par son sourire.,Yessefsi-tt ucmummeḥ-nni-ines.,Tesseḥer s teḍsa-s.
Je ne peux pas le prouver mais je suis certain qu'il a été assassiné.,"Ur sεiɣ ara ttbut, maca umneɣ belli yettwanɣa.","Ur zmireɣ ara a t-id-sbeggneɣ, lameɛna tḥeqqeqeɣ belli nɣan-t."
"Qui vole un œuf, vole un bœuf.",Win yukren tamellalt ad yaker azger.,"Win yukren tamellalt, ad yaker azger."
Ce lieu est sacré.,Amkan-a d uqdis.,Amkan-agi d imqeddes.
Cela semble très mauvais.,Kra ur yessefraḥ.,Yettban-d d ayen n diri nezzeh.
Cela semble très mauvais.,Waqil s tidet ala ayen n diri.,Yettban-d d ayen n diri nezzeh.
La fine ligne entre la lucidité et la folie est devenue plus mince encore.,Anzaḍ-nni iferqen tisselbi d leεqel yuɣal yerqiq ugar.,Izirig arqaq gar leɛqel d tamselwit yuɣal d arqaq ugar.
L'interdiction de l'adultère est l'un des tabous les plus primitifs de l'humanité.,Agdal n zzna d yiwen seg iṭabuten iqburen maḍi n talsa.,Agdal n zzna d yiwen seg yigdalen iqburen akk n talsa.
Elles se plaignent souvent du coût de la vie à Tokyo.,Llant dima la d-ttcetkint ɣef leɣla n temεict di Tokyo.,Ttcetkint daymen ɣef lɣla n tmeddurt di Tokyo.
Personne ne semble y prêter attention.,Yiwen ur d-ikad yečča-t lḥir.,Am akken ula d yiwen ur as-yerr lbal.
J'aime les histoires qui finissent mal.,Ḥemmleɣ tiqsiḍin ur nettfaka akken yelha.,Ḥemmleɣ timucuha i itfakan s yir taggara.
"Étant donné qu'il n'y avait pas de taxis, j'ai dû marcher jusqu'à chez moi.",Lḥiɣ ɣef uḍar armi d axxam seg akken ur ufiɣ aṭaksi.,"Imi ulac itaksiyen, ḥettmen fell-i ad dduɣ ɣef uḍar armi d axxam."
Il l'a trouvée sans l'avoir cherchée.,Yufa-tt ur inuda fell-as.,Yufa-tt mebla ma tt-inuda.
Elle a un chat. Ce chat est blanc.,Tesεa amcic. Amcic-a d amellal.,Tesɛa amcic. Amcic-agi d amellal.
J'étais le troisième là-bas ce matin.,Lliɣ d wis tlata din taṣebḥit-a.,Lliɣ d wis tlata dinna ṣṣbeḥ-agi.
Elles applaudissaient.,Kkatent afus.,Sṣeffiqent.
Elles applaudissaient.,Llant kkatent afus.,Tseffiqent.
Je regardais la télévision.,Lliɣ ttfeṛṛiǧeɣ tiliẓṛi.,Lliɣ ttwaliɣ tiliwizyun.
Tom n'a pas nagé aujourd'hui.,Ur iɛumm ara Tom ass-a.,Tom ur yuccum ara assa.
Elle n'a pas nagé aujourd'hui.,Ur tɛum ara ass-a.,Ur tumi ara assa.
Marie n'a pas nagé aujourd'hui.,Ur tɛum ara Marie ass-a.,Marie ur tecciw ara ass-a.
Nous n'avons pas nagé aujourd'hui.,Ur nɛum ara ass-a.,Ur nuwam ara ass-a.
"Vous n'avez pas nagé aujourd'hui, n'est-ce pas ?","Ur tɛummem ara ass-a, anaɣ?","Ur twamem ara assa, neɣ?"
"Vous n'avez pas nagé aujourd'hui, n'est-ce pas ?","Ur tɛummemt ara ass-a, anaɣ?","Ur tumem ara assa, naɣ?"
Ils n'ont pas nagé aujourd'hui.,Ur ɛumen ara ass-a.,Ur cwan ara ass-a.
Elles n'ont pas nagé aujourd'hui.,Ur ɛument ara ass-a.,Ur uwmint ara ass-a.
Je ne nage pas la nuit.,Ur ttɛumuɣ ara deg iḍ.,Ur ummeɣ ara deg yiḍ.
"Tu ne nages pas la nuit, n'est-ce pas ?","Ur tettɛumuḍ ara deg iḍ, anaɣ?","Ur tcumeḍ ara deg yiḍ, naɣ?"
Elle ne nage pas la nuit.,Ur tettɛumu ara deg iḍ.,Ur tettumu ara deg yiḍ.
Tom ne nage pas la nuit.,Ur yettɛumu ara Tom deg iḍ.,Tom ur iccel ara deg yiḍ.
"Il nous suffit juste de le suivre, suivre le chemin tracé, ce chemin qui mène vers l'histoire de l'humanité.","Yessefk kan fell-aneɣ ad t-neḍfer, ad neddu d ubrid iberzen, abrid-nni issuffuɣen ɣer tegnit n umezruy d talsa.","Dayen kan i ɣ-ilaqen ad t-neḍfer, ad neḍfer abrid i d-yettunneḍren, abrid-agi i ittawin ɣer umezruy n talsa."
"Ensuite, nous le dirons avec fierté : je suis fier d'être Kabyle.",Syin akin ad as-neqqar s zzux : Nekk d aqbayli.,"Syin akkin, a t-nini s uzux: zuxxeɣ imi lliɣ d aqbayli."
"Qui est celle-ci qui surgit comme l'aurore, belle comme la lune, resplendissante comme le soleil ?","Anta-tt ta i d-izerrqen am tafat n lefjer, tezyen am ayyur, tettirriq am yiṭij ?","Anta-t tinna i d-iteffɣen am lfeǧer, tucbiḥ am waggur, tefeǧǧeǧ am yiṭij?"
Il faudra t'habituer aux trains bondés de Tokyo.,Ilaq ad tennameḍ akked tmacinin iqqneṭsen d lɣaci di Tokyo,Ilaq ad tennummeḍ i tmacinin n Tokyo yeččuren d lɣaci.
Aimerais-tu chanter ?,Tebɣiḍ lukan ad tecnuḍ ?,Tebɣiḍ ad tecnuḍ?
Elle sait à peine parler japonais.,Thedder acemma kan tajapunit,Drus ma tessen ad temmeslay tajapunit.
N'y a-t-il pas d'autre méthode ?,Ulac tarrayt-iḍen ?,Ulac tarrayt nniḍen?
Il ne pouvait pas supporter l'amertume du café.,Ur iḥumel terẓeg n lqahwa-nni,Ur yezmir ara ad iḥemmel tmerzi n lqahwa.
Nous sommes inutiles.,Ur nlaq ula i kra.,Ur nenfɛ ara.
T'aurais l'air idiot à porter la robe de ta mère.,Ad d-tbineḍ am tungift ma telsiḍ taqendurt n yemma-m,Aț-țbaned d abuhal ma telseḍ taksiwt n yemma-k.
J'espère qu'il y aura ici une station de métro dans l'avenir.,Sarameɣ ad ilint ḥedd n teɣṣar umiṭru dayi ssya ɣer zzat.,Ssarameɣ ad d-tili dagi yiwet n tstation n lmitru deg yimal.
C'est une histoire à dormir debout.,D ayen ur nettili yakk.,D tamacahut n tkerkas.
C'est une histoire à dormir debout.,Taqsiṭ-a ur d ixef-is ur d aḍar-is.,D taqsiṭ n tmacahut.
D'où te vient cet argent ?,Ansi k-d-kkan yedrimen-a ?,Ansi i k-d-yekka wedrim-agi?
Il veut être davantage indépendant.,Yebɣa ad yili d imunen ugar.,Yebɣa ad yili d asiman ugar.
Oh hélas ! Il va fuir.,Amalah ! Tura ad yerwel.,A nndama! Ad irewel.
Tom a embrassé sa cousine.,Tom yessuden yelli-s n εemmi-s.,Tom isuden yelli-s n ɛemmi-s.
Tom a embrassé sa cousine.,Tom yessuden yelli-s n xali-s.,Tom isuden yelli-s n ɛemmi-s.
Je prenais alors mon dîner.,Lliɣ tetteɣ imensi imiren.,Imiren tteṭṭeɣ imensi-w.
"Il ne savait pas quoi dire, alors il resta silencieux.","Ur yeẓri d acu ara d-yini, dɣa yessusem kan.","Ur yeẓri ara d acu ara d-yini, dɣa yessusem."
À qui appartient ce parapluie-ci ?,Wilan ssiwan-a ?,N wanwa lmdel-agi?
"Je souhaiterais m'immerger dans les profondeurs des mers, et y disparaître pour ne plus jamais être vu.","Ttmenniɣ lemmer zmireɣ ad ɣeḍseɣ di lqiεan n lebḥur, u ad ɣibeɣ din ur yettuɣal ḥedd ad y-iẓer.","Bɣiɣ ad ḍelmeɣ deg telqi n yillelen, ad negreɣ dinna iwakken ur iyi-yettwali yiwen i lebda."
Cela fait des siècles que l'argent a perdu sa matérialisation papier ou métallique. Ce n'est désormais plus que des chiffres dans l'ordinateur.,D leqrun segmi sen-truḥ i yedrimen tengawit-nsen n lkaɣeḍ neɣ n wemɣuz. Ma d tura dayen uɣalen d izwilen an deg uselkim.,Aya d leqrun segmi idrimen sṛuḥen talɣa-nsen n lkaɣeḍ neɣ n uzzal. Tura d imḍanen kan i llan deg uselkim.
Cela m'a fait hérisser les cheveux.,Armi yettzeɣɣeb ucekkuḥ-iw.,Ayagi yessekker-iyi-d acebbub.
Cela m'a fait hérisser les cheveux.,Armi ibedd ccεer uqerru-iw.,Yessers-iyi-d acebbub.
Laissez le chat dehors.,Eǧǧ amcic-nni deg berra.,Ǧǧet amcic beṛṛa.
Nous restâmes avec eux tout au long de l'été.,Neqqim ɣur-sen anebdu merra.,Neqqim yid-sen akk anevdu.
Il parle comme s'il avait déjà lu le livre.,Yettmeslay am akken yeɣra yakan adlis-nni.,Ihedder amzun yeqra yakan adlis.
Tom tient Marie dans ses bras.,Tom yeṭṭef Mary gar iɣallen-is.,Tom yeṭṭef Mari deg yiɣallen-is.
J'aime manger du riz aux haricots.,Ḥemmleɣ rruẓ s llubya.,Ḥemmleɣ ad ččeɣ rruz s llubya.
"Ne désespère pas, tout n'est pas encore perdu.","Ur ttayes ara, mazal kra ur iruḥ.","Ur tteyyis ara, mazal ur iṛuḥ ara kullec."
Notre pays ne désire que la paix.,Tamurt-nneɣ d talwit kan i tettnadi.,Tamurt-nneɣ ur tebɣi ala talwit.
Le vieil homme a trébuché.,Yemḍerkal umɣar.,Yencref wemɣar.
Je me sens comme un étranger.,Ḥulfaɣ s yiman-iw d abeṛṛani.,Ttḥulfuɣ am uberrani.
"Un jour, tu le regretteras.",Yiwwas ad tendemmeḍ.,"Yiwen n wass, a t-tnedmeḍ."
Les couleurs vont bien ensemble.,Tiɣmiwin-nni mmezgent-d.,Iniwen mwatayen.
"Il est évident que je passe trop de temps à étudier les caractères chinois, je devrais donc étudier davantage les autres aspects de la langue.","Iban sruḥayeɣ aṭas n wakud deg isekkilen-a n tcinwant i lemmdeɣ, ilaq-iyi ihi ad issineɣ ugar udmawen nniḍen n tutlayt-a.","Iban belli ttɛeddayeɣ aṭas n lweqt deg ulmad n isekkilen n tcinwat, ihi ilaq ad lemdeɣ ugar iḥricen nniḍen n tutlayt."
"Il pénétra dans la banque, déguisé en garde.",Yekcem ɣer lbanka akken yerra iman-is d aεessas.,"Yekcem ɣer lbanka, yelsa am uɛessas."
Elle l'étrangla.,Texneq-as.,Teɣḍel-it.
Son but dans la vie était de devenir musicien.,Iswi i yella yesεa-t deg tudert : ad yuɣal d ameẓẓawan.,Iswi-is di tudert yella d ad yuɣal d amusiqi.
Ils ont peut-être faim.,Ahat lluẓen.,Ahat lluẓen.
Cette montre était celle de ton grand-père.,Ssaεa-yi tuɣ-itt n jeddi-k.,Tamrilt-agi tella d tin n jeddi-k.
Je dispose d'un carnet de notes.,Sεiɣ takarnit i tezmilin.,Sɛiɣ akkar n tira.
Je ne veux pas que tu sois fâché.,Ur bɣiɣ ara ad terfuḍ.,Ur bɣiɣ ara ad terfuḍ.
Il est noble de cœur.,Ul-is d anubli.,D ameqqran n wul.
"C’est comment, la vie en Allemagne ?",Amek tga tudert deg Lalman ?,Amek i tga tudert di Lalman?
"Ils défendent un régime criminel, raciste et colonialiste.","Kkaten ɣef yiwen akken udabu bu-tmegraḍ, iriẓri, amhersan.","Ttdafaɛen ɣef unagraw ameryu, anemmaz d umhersan."
Je n'avais rien à manger.,Lliɣ ur sεiɣ ara ččeɣ.,Ur sɛiɣ acemma ara ččeɣ.
"Dans l'ancien temps, même l'herbe était plus verte.","Di zzman aqdim, ula d leḥcic yella zegzaw ugar.","Zik-nni, ula d tuga tella d tazegzawt ugar."
Il a un examen la semaine prochaine.,Yesεa akayad ssmana i d-iteddun.,Ila akayad ddurt i d-iteddun.
"J'ai pensé le jeter, mais ai finalement décidé de le garder.",Nniɣ-as ad t-ḍeqqreɣ εawdeɣ ǧǧiɣ-t.,"Nwiɣ a t-ḍeggṛeɣ, maca deg uneggaru qesdeɣ a t-id-ǧǧeɣ."
"Ne sois pas si sauvage, Jack.",Ur ttili ara akken d aweḥci a Jack.,"Ur ttili ara d lweḥc am wakka, a Jack."
Elles ont descendu les escaliers.,Ṣubbent tiseddaṛin.,Subbent-d isulas.
Elles ont descendu les escaliers.,Hwant tiseddaṛin.,Subbent-d isellumen.
Elles ont descendu les escaliers.,Udrent tiseddaṛin.,Subbent-d isulas.
Un bon cuir se porte des années.,Taserki n tidet tetteṭṭef iseggasen d timelsiwt.,Aglim yelhan yettlus iseggasen.
Ils ont descendu les escaliers.,Ṣubben tiseddaṛin.,Udren-d iḍerfan.
Ils ont descendu les escaliers.,Hwan tiseddaṛin.,Udren-d iḍerfan.
Ils ont descendu les escaliers.,Udren tiseddaṛin.,Ṣubben-d isulas.
"Si le temps le permet, j'irai visiter le musée.",Ma sεiɣ lweqt ad ruḥeɣ ad d-ẓreɣ asalay.,"Ma yella lḥal iserreḥ, ad rzuɣ ɣer usalay."
Nous avons descendu les escaliers.,Nṣubb tiseddaṛin-nni.,Nsubb isaliwen.
Nous avons descendu les escaliers.,Nṣubb tiṭṛujin-nni.,Nsubb isaliwen.
Nous avons descendu les escaliers.,Nuder tiseddaṛin-nni.,Nuder isellumen.
Nous avons descendu les escaliers.,Nehwa tiseddaṛin-nni.,Nuder isellumen.
Nous avons descendu les escaliers.,Nehwa tiṭṛujin-nni.,Nsubb isaliwen.
Votre temps est en train de s'écouler.,Atan wakud-ik la izerri.,Akud-nwen la ițfaka.
Je veux voyager avec toi.,Bɣiɣ ad ḥewwseɣ yid-k.,Bɣiɣ ad safreɣ yid-ek.
Je veux voyager avec toi.,Bɣiɣ ad ḥewwseɣ yid-m.,Bɣiɣ ad safreɣ yid-ek.
